Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR33444636,2025-05-06 06:29:17,2025-05-06 06:07:16,24001257,7016587788,24001257,292,1890,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444636/SRR33444636.lite.1,SRX28685314,exo2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952305,SAMN48356258,simple,10116,Rattus norvegicus,exo2,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,1F6532BC38ACBC8550ABE82302DCD184,FBEE4DFDAB9D419F7B2A505A9A8B3327
SRR33444635,2025-05-06 06:29:17,2025-05-06 06:07:31,23568802,6896065053,23568802,292,1856,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444635/SRR33444635.lite.1,SRX28685315,exo3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952306,SAMN48356259,simple,10116,Rattus norvegicus,exo3,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,645BA3820E5D8626816732C2CBFCF33D,6D351D8F9F6B382CC8B8B4E7C72905AD
SRR33444634,2025-05-06 06:29:17,2025-05-06 06:06:55,23482628,6875757010,23482628,292,1839,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444634/SRR33444634.lite.1,SRX28685316,wnt1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952307,SAMN48356260,simple,10116,Rattus norvegicus,wnt1,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,E6B4BA18941E84A9EAA48B80C6FA2C82,EDCF1C0DDF9954DDE0F9AFF6441733D5
SRR33444633,2025-05-06 06:29:17,2025-05-06 06:06:39,21757187,6366406705,21757187,292,1734,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444633/SRR33444633.lite.1,SRX28685317,wnt2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952308,SAMN48356261,simple,10116,Rattus norvegicus,wnt2,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,C3E6476486BA5D363E5EDEF67F2C2FBA,768F6DBCC9D23E074963575050D3D842
SRR33444632,2025-05-06 06:29:17,2025-05-06 06:06:48,23787876,6954765163,23787876,292,1873,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444632/SRR33444632.lite.1,SRX28685318,wnt3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952309,SAMN48356262,simple,10116,Rattus norvegicus,wnt3,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,F2C367C26F48B421DBC2E00089E8B7A1,8C6BF1792E9925CA155E7C7D044C0540
SRR32936234,2025-05-01 01:56:56,2025-04-01 12:28:01,33879610,6775922000,33879610,200,4332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR032/32936/SRR32936234/SRR32936234.lite.1,SRX28210935,GSM8883049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP575689,PRJNA1244760,,1244760,SRS24560079,SAMN47732587,simple,10090,Mus musculus,GSM8883049,,,,,,,no,,,,,TONGJI HOSPITAL,SRA2104801,,public,78C00FA9690BAA240822979D24267FC8,BBB7189C4AAFFB50B344B3565115FDF3
SRR33444640,2025-05-06 06:29:16,2025-05-06 06:08:45,23705100,6919566335,23705100,291,1872,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444640/SRR33444640.lite.1,SRX28685310,con1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952301,SAMN48356254,simple,10116,Rattus norvegicus,con1,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,BEE0DE80669299DBDD3FB511E96FDA7F,B42EC55D1ED7D20EA985D0FC21382F07
SRR33444639,2025-05-06 06:29:16,2025-05-06 06:08:50,23289199,6806592824,23289199,292,1848,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444639/SRR33444639.lite.1,SRX28685311,con2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952302,SAMN48356255,simple,10116,Rattus norvegicus,con2,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,2048C0CA493E8040C3CE4B40C657C563,52197E30FE9B61AE2D81A8B62481B2AC
SRR33444638,2025-05-06 06:29:17,2025-05-06 06:06:40,19771775,5769864008,19771775,291,1572,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444638/SRR33444638.lite.1,SRX28685312,con3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952303,SAMN48356256,simple,10116,Rattus norvegicus,con3,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,FC45264BF6E9C35C9ADBD9B68FA31FA4,78BFA66B7A1F40811906AB4C4A03A911
SRR33444637,2025-05-06 06:29:17,2025-05-06 06:07:24,23537661,6890258564,23537661,292,1852,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR033/33444/SRR33444637/SRR33444637.lite.1,SRX28685313,exo1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP583270,PRJNA1259226,,1259226,SRS24952304,SAMN48356257,simple,10116,Rattus norvegicus,exo1,,,,,not applicable,,no,,,,,THE SECOND AFFILIATED HOSPITAL OF GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,SRA2124439,,public,B71569E7EA3CB8046200ECC7AB517064,D9565020FDB0D193453D3AC8D614499D
