,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
65,SRR29258154,2024-12-04 15:31:34,2024-06-02 11:40:50,66766183,20029854900,66766183,300,6059,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR029/29258/SRR29258154/SRR29258154.lite.1,SRX24776040,GSM8301373,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP511215,PRJNA1119183,3.0,1119183,SRS21494633,SAMN41640640,simple,10090,Mus musculus,GSM8301373,,,,,,,no,,,,,NANJING FIRST HOSPITAL,SRA1886417,,public,C0155AE3A83FCDF709D2760DCDD5863B,CDA480F5BE75D5ACD4E618FC95A02EDF
66,SRR29258152,2024-12-04 15:31:34,2024-06-02 11:34:23,69448356,20834506800,69448356,300,6256,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR029/29258/SRR29258152/SRR29258152.lite.1,SRX24776042,GSM8301375,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP511215,PRJNA1119183,3.0,1119183,SRS21494634,SAMN41640638,simple,10090,Mus musculus,GSM8301375,,,,,,,no,,,,,NANJING FIRST HOSPITAL,SRA1886417,,public,4813EFE2395EC6D070579FE743C6CE3F,D17F317A271F09E63B47DA7874426B7E
67,SRR29258153,2024-12-04 15:31:34,2024-06-02 11:37:29,66559932,19967979600,66559932,300,6048,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR029/29258/SRR29258153/SRR29258153.lite.1,SRX24776041,GSM8301374,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP511215,PRJNA1119183,3.0,1119183,SRS21494635,SAMN41640639,simple,10090,Mus musculus,GSM8301374,,,,,,,no,,,,,NANJING FIRST HOSPITAL,SRA1886417,,public,C75A28B5D777F8ECF229078B470337DB,30DBCD419225C8F8F421BAC72E64FC10
74,SRR29258155,2024-12-04 15:31:33,2024-06-02 11:47:55,79296288,23788886400,79296288,300,7160,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR029/29258/SRR29258155/SRR29258155.lite.1,SRX24776039,GSM8301372,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP511215,PRJNA1119183,3.0,1119183,SRS21494632,SAMN41640641,simple,10090,Mus musculus,GSM8301372,,,,,,,no,,,,,NANJING FIRST HOSPITAL,SRA1886417,,public,119057E42E35BB47DEE3FDFBEF8B2897,66DD9767904302FA51CA61518ABC435C
137,SRR25568373,2023-10-01 11:37:19,2023-08-08 08:35:27,23283719,1164185950,0,50,967,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568373/SRR25568373.lite.1,SRX21297129,PEGPLA2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546235,SAMN36887629,simple,10090,Mus musculus,PEGPLA2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,7DAB6C3D1887427257576D3CF70ECE3B,71FC02ED2A2DBCCB18781A41BB1504E2
138,SRR25568372,2023-10-01 11:37:19,2023-08-08 08:36:47,23292573,1164628650,0,50,954,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568372/SRR25568372.lite.1,SRX21297130,PEGPLA3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546237,SAMN36887630,simple,10090,Mus musculus,PEGPLA3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,AC964715C0EBF0FCBFDAFB839B61F728,924657D9F8AAC40A70D7C4E5BD07D27A
139,SRR25568371,2023-10-01 11:37:19,2023-08-08 08:36:46,23496631,1174831550,0,50,978,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568371/SRR25568371.lite.1,SRX21297131,QD1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546238,SAMN36887631,simple,10090,Mus musculus,QD1,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,AAB84D6BC1781A1AAF06F03D2FBA8DE0,44F826F6BD91945F4348B30893B3E83E
140,SRR25568378,2023-10-01 11:37:19,2023-08-08 08:36:54,23233576,1161678800,0,50,953,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568378/SRR25568378.lite.1,SRX21297124,CTRL3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546231,SAMN36887624,simple,10090,Mus musculus,CTRL3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,0E17FAC95035548783085066C9DFEBAD,C9B6AA53931C3F34C78B85D3DDFB558F
141,SRR25568375,2023-10-01 11:37:19,2023-08-08 08:35:21,23247275,1162363750,0,50,951,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568375/SRR25568375.lite.1,SRX21297127,RHDL3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546232,SAMN36887627,simple,10090,Mus musculus,RHDL3,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,BC85ED9580803EFBF389A2BF41367F73,124CD9C425F2D6451744E5202CA83F69
142,SRR25568376,2023-10-01 11:37:19,2023-08-08 08:36:43,23258385,1162919250,0,50,959,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR025/25568/SRR25568376/SRR25568376.lite.1,SRX21297126,RHDL2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,BGISEQ,BGISEQ-500,SRP453975,PRJNA1003397,,1003397,SRS18546233,SAMN36887626,simple,10090,Mus musculus,RHDL2,,,,,not determined,,no,,,,,SHANGHAI JIAO TONG UNIVERSITY SCHOOL OF MEDICINE,SRA1688589,,public,F4F4491FBC4267C493B3EBCE284638AF,07BA8209662B83A68259DEC9674E3ADB
